ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Annual_precip,tropical,labels
AFG,0.07,2.11,7.6,13.37,18.22,23.2,25.26,23.77,19.03,12.99,7.0,2.43,12.92,4.328,4.918,6.497000000000001,4.941,2.418,0.456,0.8029999999999999,0.774,0.3670000000000001,0.9359999999999999,1.541,3.154,31.131999999999998,False,1
AGO,22.58,22.68,22.78,22.35,20.74,18.37,17.95,19.9,22.19,23.18,22.79,22.61,21.51,15.499,14.854,16.991,10.907,1.514,0.037000000000000005,0.032,0.341,2.01,6.976999999999999,14.450999999999999,15.515999999999998,99.131,True,2
ALB,2.02,3.22,6.04,9.92,14.44,17.93,20.54,20.48,17.16,12.27,7.58,3.65,11.27,10.8,10.263,9.343,8.616,7.427,5.457999999999998,3.907,4.57,6.7570000000000014,10.526,13.825999999999999,13.830000000000002,105.324,False,0
ARE,18.43,19.43,22.61,26.58,30.62,32.46,33.8,33.55,31.74,28.34,24.06,20.28,26.83,0.596,2.218,1.659,0.8960000000000001,0.10800000000000001,0.109,0.228,0.141,0.05,0.043,0.174,0.5599999999999999,6.7810000000000015,False,1
ARG,20.8,19.9,17.51,14.05,10.65,7.66,7.42,9.02,11.53,14.67,17.54,19.83,14.22,6.8370000000000015,6.365,6.9529999999999985,4.648,3.628,2.8080000000000003,2.589,2.41,3.007,4.772,5.557,6.33,55.905,False,0
ARM,-8.66,-6.65,-0.57,6.62,11.43,15.58,19.82,19.28,14.97,7.92,1.62,-4.87,6.37,2.084,2.593,4.011,5.973,8.285,6.805,4.306,3.597,2.943,4.213,3.0789999999999997,2.34,50.228,False,3
AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,8.056000000000001,7.581,6.1979999999999995,3.112,3.0,2.383,2.33,2.027,1.784,2.4370000000000003,3.31,5.0920000000000005,47.309,False,1
AUT,-3.52,-1.99,1.42,5.51,10.12,13.29,15.26,14.98,12.09,7.55,1.73,-2.21,6.19,6.7700000000000005,6.5909999999999975,7.5920000000000005,9.07,11.336,13.765999999999998,13.7,13.142,9.491,7.7150000000000025,9.221,7.7239999999999975,116.118,False,3
AZE,-0.2,0.8,4.97,11.64,16.8,21.73,24.76,24.11,19.83,12.88,7.33,2.03,12.22,2.468,2.7430000000000003,4.0520000000000005,4.843999999999999,5.683,5.086,2.52,2.309,3.415,4.541,3.05,2.676,43.38800000000001,False,1
BDI,20.24,20.39,20.43,20.37,20.05,19.37,19.36,20.44,21.16,20.98,20.24,20.17,20.27,15.409,13.905,17.024,19.373,9.437000000000001,1.222,0.375,1.385,5.613,9.615,17.195,15.727,126.281,True,2
BEL,1.95,2.62,5.23,8.15,12.4,15.43,17.24,17.18,14.43,10.68,5.76,3.11,9.51,7.445,5.944,7.445,5.9460000000000015,7.0180000000000025,7.892,7.572,6.805,6.686,7.74,8.599,8.337,87.42999999999998,False,3
BEN,26.57,28.69,30.14,30.2,28.93,27.13,25.84,25.44,25.9,27.15,27.15,26.39,27.46,0.21600000000000005,0.8150000000000001,3.599,6.976000000000001,11.889,15.380999999999998,18.024,19.631,18.095,7.612,0.8690000000000001,0.322,103.427,True,2
BFA,25.0,27.84,30.63,32.05,31.47,29.23,27.11,26.36,26.97,28.71,27.47,25.25,28.18,0.027000000000000003,0.102,0.8230000000000001,2.806,6.420999999999999,10.232,17.288,21.539,14.188999999999998,3.64,0.279,0.08199999999999999,77.429,True,2
